"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/YBot/Alpha_Joints_MAT.Alpha_Joints_MAT","0","0","28","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/YBot/Alpha_Body_MAT.Alpha_Body_MAT","0","0","28","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Void/M_VoidCore.M_VoidCore","0","0","45","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Levels/M_SimpleColored.M_SimpleColored","0","0","23","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Bubble.M_Bubble","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Buildings/Materials/M_GlowingOrb.M_GlowingOrb","0","0","84","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid_Transparent.M_Solid_Transparent","0","0","48","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Hologram_Cone.M_Hologram_Cone","0","0","108","3","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Lightning/M_LightningBase.M_LightningBase","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Fire/M_Flip.M_Flip","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_WaterSplash_1.M_WaterSplash_1","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_2.M_Trail_2","0","0","18","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Droplet.M_Droplet","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_3.M_Trail_3","0","0","18","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Shaft_01.M_Shaft_01","0","0","54","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Fire/M_FireWave.M_FireWave","0","0","108","2","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Droplets.M_Droplets","0","0","130","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Leaves.M_Leaves","0","0","27","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_HologramRay.M_HologramRay","0","0","45","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Ember_Thorn.M_Ember_Thorn","0","0","54","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Caustics.M_Caustics","0","0","90","2","0.000000","0","45"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Refractive.M_Refractive","0","0","130","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_NatureTrails.M_NatureTrails","0","0","72","2","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_MagicCircle.M_MagicCircle","0","0","45","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_ImpactDecal.M_ImpactDecal","0","0","45","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_5.M_Trail_5","0","0","18","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_0.M_Trail_0","0","0","18","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_4.M_Trail_4","0","0","18","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/Ice/M_SpikeIce.M_SpikeIce","0","0","42","1","0.000000","0","0"
"/Game/MAIN_MannyTD/Models/Projectiles/Materials/M_Trail_1.M_Trail_1","0","0","18","1","0.000000","0","0"
